time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1995-02-23T12:42:00.260Z,28.915,34.612,10,2.9,md,,,,0.4,us,usp0006tde,2014-11-07T00:57:22.012Z,"15 km SSW of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-02-23T02:14:10.790Z,28.865,34.884,10,2.8,md,,,,0.4,us,usp0006tcq,2014-11-07T00:57:21.715Z,"29 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-02-18T13:21:39.710Z,28.959,34.567,20,3.7,md,,,,0.6,us,usp0006t58,2014-11-07T00:57:20.769Z,"13 km SW of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-02-15T04:39:28.280Z,28.657,34.128,20,2.8,md,,,,0.5,us,usp0006sz9,2014-11-07T00:57:20.178Z,"20 km ENE of Saint Catherine, Egypt",earthquake,,,,,reviewed,us,ryd
1995-02-13T14:28:59.510Z,28.225,34.625,10,3.2,md,,,,0.3,us,usp0006svr,2014-11-07T00:57:19.680Z,"31 km SSE of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1995-02-10T15:12:12.150Z,28.97,34.871,10,3.6,md,,,,0.5,us,usp0006sq6,2014-11-07T00:57:18.676Z,"21 km ESE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-02-08T11:52:12.100Z,28.772,34.619,10,2.7,md,,,,0.3,us,usp0006sjz,2014-11-07T00:57:18.111Z,"30 km S of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-02-06T21:15:48.850Z,28.969,34.964,5,3.6,ml,,,,1.1,us,usp0006sgm,2014-11-07T00:57:17.831Z,"30 km ESE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,jer
1995-02-05T05:22:32.320Z,27.122,34.577,10,3.2,md,,,,0.2,us,usp0006sde,2014-11-07T00:57:17.188Z,"68 km ENE of Makadi Bay, Egypt",earthquake,,,,,reviewed,us,ryd
1995-01-15T09:54:20.160Z,27.807,34.628,10,3.5,md,,,,1,us,usp0006rc8,2014-11-07T00:57:08.248Z,"31 km ESE of Sharm el-Sheikh, Egypt",earthquake,,,,,reviewed,us,ryd
1995-01-13T21:20:37.420Z,28.904,35.061,10,2.7,md,,,,0.7,us,usp0006r9w,2014-11-07T00:57:07.956Z,"41 km ESE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-01-09T03:32:47.060Z,28.965,34.872,10,3.3,md,,,,0.4,us,usp0006r2d,2014-11-07T00:57:06.941Z,"22 km ESE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-01-06T09:17:43.030Z,26.84,34.783,10,2.7,md,,,,1,us,usp0006qxj,2014-11-07T00:57:06.071Z,"84 km E of Safaga, Egypt",earthquake,,,,,reviewed,us,ryd
1995-01-06T07:24:06.370Z,29,34.876,10,2.5,md,,,,0.3,us,usp0006qxa,2014-11-07T00:57:06.052Z,"Egypt",earthquake,,,,,reviewed,us,ryd
1995-01-05T01:52:51.950Z,27.847,33.068,10,3.6,md,,,,0.4,us,usp0006qvt,2014-11-07T00:57:05.743Z,"56 km S of Ras Gharib, Egypt",earthquake,,,,,reviewed,us,hlw
1995-01-03T11:27:57.850Z,28.828,34.887,10,2.7,md,,,,0.6,us,usp0006qth,2014-11-07T00:57:04.980Z,"32 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-01-03T09:14:35.240Z,28.824,34.667,10,3.2,md,,,,0.5,us,usp0006qt7,2014-11-07T00:57:04.935Z,"24 km S of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-01-01T00:46:29.730Z,26.733,34.707,10,3.5,md,,,,0.4,us,usp0006qph,2014-11-07T00:57:02.492Z,"76 km E of Safaga, Egypt",earthquake,,,,,reviewed,us,ryd
1994-12-25T16:42:15.580Z,28.797,34.825,10,2.5,md,,,,0.7,us,usp0006qee,2014-11-07T00:56:59.778Z,"31 km SSE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1994-12-24T14:24:39.310Z,28.838,34.848,10,2.5,md,,,,0.5,us,usp0006qd2,2014-11-07T00:56:59.559Z,"29 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1994-12-22T07:03:10.110Z,26.694,34.656,10,3.5,md,,,,0.2,us,usp0006qan,2014-11-07T00:56:59.124Z,"71 km E of Safaga, Egypt",earthquake,,,,,reviewed,us,ryd
1994-12-19T10:09:57.620Z,28.722,34.837,10,3.1,md,,,,0.6,us,usp0006q7c,2014-11-07T00:56:58.753Z,"39 km SSE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1994-12-16T00:44:33.530Z,28.681,34.8,10,3.2,md,,,,0.7,us,usp0006q39,2014-11-07T00:56:58.202Z,"37 km NE of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1994-12-15T09:10:20.460Z,28.72,34.702,10,3,md,,,,0.7,us,usp0006q2u,2014-11-07T00:56:58.100Z,"33 km NE of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1994-12-11T04:28:34.720Z,27.319,34.646,10,2.9,md,,,,0.3,us,usp0006px6,2014-11-07T00:56:57.188Z,"73 km SSE of Sharm el-Sheikh, Egypt",earthquake,,,,,reviewed,us,ryd
1994-12-03T08:49:50.520Z,28.677,34.732,10,2.6,md,,,,0.6,us,usp0006pks,2014-11-07T00:56:54.367Z,"31 km NE of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1994-11-26T14:50:50.980Z,28.536,34.898,10,2.7,md,,,,0.5,us,usp0006p9d,2014-11-07T00:56:50.816Z,"39 km E of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1994-11-14T18:23:24.370Z,28.714,34.739,10,3.8,md,,,,1.3,us,usp0006nn0,2014-11-07T00:56:47.316Z,"35 km NE of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
